"checking_account","duration_months","credit_history","purpose","credit_amount","savings","present_employment_since","installment_rate","personal_status_sex","other_deptors","present_residence","property","age_years","other_installment_plans","housing","existing_credits","job","people_liable_maintenance","telephone","foreign_worker","response"
"... <  0 euro",21,"critical account/other credits existing (not at this bank)","car (new)",1602,"... <  51 euro",".. >= 7 years",4,"male   : married/widowed","none",3,"(if not optin 1 or 2) car or other, not in attribute",30,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",18,"critical account/other credits existing (not at this bank)","car (new)",3966,"... <  51 euro",".. >= 7 years",1,"female : divorced/separated/married","none",4,"real estate",33,"bank","rent",3,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"No checking account",18,"no credits taken/ all credits paid back duly","business",4165,"... <  51 euro","1  <= ... < 4 years",2,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",36,"stores","own",2,"skilled employee / official",2,"none","yes","1"
"... <  0 euro",36,"existing credits paid back duly till now","car (used)",8335,"unknown/ no savings account",".. >= 7 years",3,"male   : single","none",4,"unknown / no property",47,"none","for free",1,"skilled employee / official",1,"none","yes","1"
"0 <= ... <  102 euro",48,"delay in paying off in the past","business",6681,"unknown/ no savings account","1  <= ... < 4 years",4,"male   : single","none",4,"unknown / no property",38,"none","for free",1,"skilled employee / official",2,"yes, registered under the customers name","yes","0"
"No checking account",24,"delay in paying off in the past","business",2375,"255 euro <= ... < 511 euro","1  <= ... < 4 years",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",44,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","yes","0"
"... <  0 euro",18,"existing credits paid back duly till now","car (new)",1216,"... <  51 euro","... < 1 year",4,"female : divorced/separated/married","none",3,"(if not optin 1 or 2) car or other, not in attribute",23,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"... <  0 euro",45,"no credits taken/ all credits paid back duly","business",11816,"... <  51 euro",".. >= 7 years",2,"male   : single","none",4,"(if not optin 1 or 2) car or other, not in attribute",29,"none","rent",2,"skilled employee / official",1,"none","yes","1"
"0 <= ... <  102 euro",24,"existing credits paid back duly till now","radio/television",5084,"unknown/ no savings account",".. >= 7 years",2,"female : divorced/separated/married","none",4,"(if not optin 1 or 2) car or other, not in attribute",42,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
">= 102 euro",15,"existing credits paid back duly till now","radio/television",2327,"... <  51 euro","... < 1 year",2,"female : divorced/separated/married","none",3,"real estate",25,"none","own",1,"unskilled - resident",1,"none","yes","1"
"... <  0 euro",12,"no credits taken/ all credits paid back duly","car (new)",1082,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",4,"(if not optin 1 or 2) car or other, not in attribute",48,"bank","own",2,"skilled employee / official",1,"none","yes","1"
"No checking account",12,"existing credits paid back duly till now","radio/television",886,"unknown/ no savings account","1  <= ... < 4 years",4,"female : divorced/separated/married","none",2,"(if not optin 1 or 2) car or other, not in attribute",21,"none","own",1,"skilled employee / official",1,"none","yes","0"
"No checking account",4,"existing credits paid back duly till now","furniture/equipment",601,"... <  51 euro","... < 1 year",1,"female : divorced/separated/married","none",3,"real estate",23,"none","rent",1,"unskilled - resident",2,"none","yes","0"
"... <  0 euro",24,"critical account/other credits existing (not at this bank)","car (used)",2957,"... <  51 euro",".. >= 7 years",4,"male   : single","none",4,"(if not real estate) building society savings agreement/ life insurance",63,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",24,"critical account/other credits existing (not at this bank)","radio/television",2611,"... <  51 euro",".. >= 7 years",4,"male   : married/widowed","co-applicant",3,"real estate",46,"none","own",2,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",36,"existing credits paid back duly till now","furniture/equipment",5179,"... <  51 euro","4  <= ... < 7 years",4,"male   : single","none",2,"(if not real estate) building society savings agreement/ life insurance",29,"none","own",1,"skilled employee / official",1,"none","yes","1"
"No checking account",21,"delay in paying off in the past","car (used)",2993,"... <  51 euro","1  <= ... < 4 years",3,"male   : single","none",2,"real estate",28,"stores","own",2,"unskilled - resident",1,"none","yes","0"
"No checking account",18,"existing credits paid back duly till now","repairs",1943,"... <  51 euro","... < 1 year",4,"female : divorced/separated/married","none",4,"real estate",23,"none","own",1,"skilled employee / official",1,"none","yes","1"
"No checking account",24,"all credits at this bank paid back duly","business",1559,"... <  51 euro","4  <= ... < 7 years",4,"male   : single","none",4,"(if not optin 1 or 2) car or other, not in attribute",50,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",18,"existing credits paid back duly till now","furniture/equipment",3422,"... <  51 euro",".. >= 7 years",4,"male   : single","none",4,"(if not real estate) building society savings agreement/ life insurance",47,"bank","own",3,"skilled employee / official",2,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",21,"existing credits paid back duly till now","furniture/equipment",3976,"unknown/ no savings account","4  <= ... < 7 years",2,"male   : single","none",3,"(if not optin 1 or 2) car or other, not in attribute",35,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",18,"existing credits paid back duly till now","car (new)",6761,"unknown/ no savings account","1  <= ... < 4 years",2,"male   : single","none",4,"(if not optin 1 or 2) car or other, not in attribute",68,"none","rent",2,"skilled employee / official",1,"none","yes","1"
"No checking account",24,"existing credits paid back duly till now","car (new)",1249,"... <  51 euro","... < 1 year",4,"male   : married/widowed","none",2,"real estate",28,"none","own",1,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",9,"existing credits paid back duly till now","radio/television",1364,"... <  51 euro","4  <= ... < 7 years",3,"male   : single","none",4,"real estate",59,"none","own",1,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",12,"existing credits paid back duly till now","radio/television",709,"... <  51 euro",".. >= 7 years",4,"male   : single","none",4,"real estate",57,"stores","own",1,"unskilled - resident",1,"none","yes","1"
"... <  0 euro",20,"critical account/other credits existing (not at this bank)","car (new)",2235,"... <  51 euro","1  <= ... < 4 years",4,"male   : married/widowed","guarantor",2,"(if not real estate) building society savings agreement/ life insurance",33,"bank","rent",2,"skilled employee / official",1,"none","no","1"
"No checking account",24,"critical account/other credits existing (not at this bank)","car (used)",4042,"unknown/ no savings account","4  <= ... < 7 years",3,"male   : single","none",4,"(if not real estate) building society savings agreement/ life insurance",43,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",15,"critical account/other credits existing (not at this bank)","radio/television",1471,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",4,"unknown / no property",35,"none","for free",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",18,"all credits at this bank paid back duly","car (new)",1442,"... <  51 euro","4  <= ... < 7 years",4,"male   : single","none",4,"unknown / no property",32,"none","for free",2,"unskilled - resident",2,"none","yes","1"
"No checking account",36,"delay in paying off in the past","car (new)",10875,"... <  51 euro",".. >= 7 years",2,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",45,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","yes","0"
"No checking account",24,"existing credits paid back duly till now","car (new)",1474,"51 <= ... <  255 euro","... < 1 year",4,"male   : married/widowed","none",3,"real estate",33,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",10,"existing credits paid back duly till now","retraining",894,"unknown/ no savings account","4  <= ... < 7 years",4,"female : divorced/separated/married","none",3,"(if not real estate) building society savings agreement/ life insurance",40,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",15,"critical account/other credits existing (not at this bank)","furniture/equipment",3343,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",2,"unknown / no property",28,"none","for free",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",15,"existing credits paid back duly till now","car (new)",3959,"... <  51 euro","1  <= ... < 4 years",3,"female : divorced/separated/married","none",2,"(if not real estate) building society savings agreement/ life insurance",29,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"No checking account",9,"existing credits paid back duly till now","car (new)",3577,"51 <= ... <  255 euro","1  <= ... < 4 years",1,"male   : single","guarantor",2,"real estate",26,"none","rent",1,"skilled employee / official",2,"none","no","0"
"No checking account",24,"critical account/other credits existing (not at this bank)","car (used)",5804,".. >= 511 euro","1  <= ... < 4 years",4,"male   : single","none",2,"real estate",27,"none","own",2,"skilled employee / official",1,"none","yes","0"
"No checking account",18,"delay in paying off in the past","business",2169,"... <  51 euro","1  <= ... < 4 years",4,"male   : married/widowed","none",2,"(if not optin 1 or 2) car or other, not in attribute",28,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"... <  0 euro",24,"existing credits paid back duly till now","radio/television",2439,"... <  51 euro","... < 1 year",4,"female : divorced/separated/married","none",4,"real estate",35,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"No checking account",27,"critical account/other credits existing (not at this bank)","furniture/equipment",4526,".. >= 511 euro","... < 1 year",4,"male   : single","none",2,"real estate",32,"stores","own",2,"unskilled - resident",2,"yes, registered under the customers name","yes","0"
"No checking account",10,"existing credits paid back duly till now","furniture/equipment",2210,"... <  51 euro","1  <= ... < 4 years",2,"male   : single","none",2,"real estate",25,"bank","rent",1,"unskilled - resident",1,"none","yes","1"
"No checking account",15,"existing credits paid back duly till now","furniture/equipment",2221,"255 euro <= ... < 511 euro","1  <= ... < 4 years",2,"female : divorced/separated/married","none",4,"(if not optin 1 or 2) car or other, not in attribute",20,"none","rent",1,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",18,"existing credits paid back duly till now","radio/television",2389,"... <  51 euro","... < 1 year",4,"female : divorced/separated/married","none",1,"(if not optin 1 or 2) car or other, not in attribute",27,"stores","own",1,"skilled employee / official",1,"none","yes","0"
"No checking account",12,"critical account/other credits existing (not at this bank)","furniture/equipment",3331,"... <  51 euro",".. >= 7 years",2,"male   : single","none",4,"(if not real estate) building society savings agreement/ life insurance",42,"stores","own",1,"skilled employee / official",1,"none","yes","0"
"No checking account",36,"existing credits paid back duly till now","business",7409,"unknown/ no savings account",".. >= 7 years",3,"male   : single","none",2,"(if not real estate) building society savings agreement/ life insurance",37,"none","own",2,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",12,"existing credits paid back duly till now","furniture/equipment",652,"... <  51 euro",".. >= 7 years",4,"female : divorced/separated/married","none",4,"(if not real estate) building society savings agreement/ life insurance",24,"none","rent",1,"skilled employee / official",1,"none","yes","0"
"No checking account",36,"delay in paying off in the past","furniture/equipment",7678,"255 euro <= ... < 511 euro","4  <= ... < 7 years",2,"female : divorced/separated/married","none",4,"(if not optin 1 or 2) car or other, not in attribute",40,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
">= 102 euro",6,"critical account/other credits existing (not at this bank)","car (new)",1343,"... <  51 euro",".. >= 7 years",1,"male   : single","none",4,"real estate",46,"none","own",2,"skilled employee / official",2,"none","no","0"
"... <  0 euro",24,"critical account/other credits existing (not at this bank)","business",1382,"51 <= ... <  255 euro","4  <= ... < 7 years",4,"male   : single","none",1,"real estate",26,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",15,"existing credits paid back duly till now","domestic appliances",874,"unknown/ no savings account","... < 1 year",4,"female : divorced/separated/married","none",1,"real estate",24,"none","own",1,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",12,"existing credits paid back duly till now","furniture/equipment",3590,"... <  51 euro","1  <= ... < 4 years",2,"male   : single","co-applicant",2,"(if not real estate) building society savings agreement/ life insurance",29,"none","own",1,"unskilled - resident",2,"none","yes","0"
"0 <= ... <  102 euro",11,"critical account/other credits existing (not at this bank)","car (new)",1322,".. >= 511 euro","1  <= ... < 4 years",4,"female : divorced/separated/married","none",4,"(if not optin 1 or 2) car or other, not in attribute",40,"none","own",2,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",18,"all credits at this bank paid back duly","radio/television",1940,"... <  51 euro","... < 1 year",3,"male   : single","co-applicant",4,"unknown / no property",36,"bank","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"No checking account",36,"existing credits paid back duly till now","radio/television",3595,"... <  51 euro",".. >= 7 years",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",28,"none","own",1,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",9,"existing credits paid back duly till now","car (new)",1422,"... <  51 euro","... < 1 year",3,"male   : single","none",2,"unknown / no property",27,"none","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","1"
"No checking account",30,"critical account/other credits existing (not at this bank)","radio/television",6742,"unknown/ no savings account","4  <= ... < 7 years",2,"male   : single","none",3,"(if not real estate) building society savings agreement/ life insurance",36,"none","own",2,"skilled employee / official",1,"none","yes","0"
"No checking account",24,"existing credits paid back duly till now","car (used)",7814,"... <  51 euro","4  <= ... < 7 years",3,"male   : single","none",3,"(if not optin 1 or 2) car or other, not in attribute",38,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"No checking account",24,"existing credits paid back duly till now","car (used)",9277,"unknown/ no savings account","1  <= ... < 4 years",2,"male   : divorced/separated","none",4,"unknown / no property",48,"none","for free",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",30,"critical account/other credits existing (not at this bank)","car (new)",2181,"unknown/ no savings account",".. >= 7 years",4,"male   : single","none",4,"real estate",36,"none","own",2,"skilled employee / official",1,"none","yes","0"
"No checking account",18,"critical account/other credits existing (not at this bank)","radio/television",1098,"... <  51 euro","unemployed",4,"female : divorced/separated/married","none",4,"(if not optin 1 or 2) car or other, not in attribute",65,"none","own",2,"unemployed/ unskilled  - non-resident",1,"none","yes","0"
"0 <= ... <  102 euro",24,"existing credits paid back duly till now","furniture/equipment",4057,"... <  51 euro","4  <= ... < 7 years",3,"male   : divorced/separated","none",3,"(if not optin 1 or 2) car or other, not in attribute",43,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"... <  0 euro",12,"existing credits paid back duly till now","education",795,"... <  51 euro","... < 1 year",4,"female : divorced/separated/married","none",4,"(if not real estate) building society savings agreement/ life insurance",53,"none","own",1,"skilled employee / official",1,"none","yes","1"
"0 <= ... <  102 euro",24,"critical account/other credits existing (not at this bank)","business",2825,"unknown/ no savings account","4  <= ... < 7 years",4,"male   : single","none",3,"unknown / no property",34,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",48,"existing credits paid back duly till now","business",15672,"... <  51 euro","1  <= ... < 4 years",2,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",23,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"No checking account",36,"critical account/other credits existing (not at this bank)","car (new)",6614,"... <  51 euro",".. >= 7 years",4,"male   : single","none",4,"(if not optin 1 or 2) car or other, not in attribute",34,"none","own",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"No checking account",28,"all credits at this bank paid back duly","car (used)",7824,"unknown/ no savings account","... < 1 year",3,"male   : single","guarantor",4,"real estate",40,"bank","rent",2,"skilled employee / official",2,"yes, registered under the customers name","yes","0"
"... <  0 euro",27,"critical account/other credits existing (not at this bank)","business",2442,"... <  51 euro",".. >= 7 years",4,"male   : single","none",4,"(if not optin 1 or 2) car or other, not in attribute",43,"stores","own",4,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","0"
"No checking account",15,"critical account/other credits existing (not at this bank)","radio/television",1829,"... <  51 euro",".. >= 7 years",4,"male   : single","none",4,"(if not optin 1 or 2) car or other, not in attribute",46,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",12,"critical account/other credits existing (not at this bank)","car (new)",2171,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",4,"(if not real estate) building society savings agreement/ life insurance",38,"bank","own",2,"unskilled - resident",1,"none","no","0"
"0 <= ... <  102 euro",36,"critical account/other credits existing (not at this bank)","car (used)",5800,"... <  51 euro","1  <= ... < 4 years",3,"male   : single","none",4,"(if not optin 1 or 2) car or other, not in attribute",34,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",18,"critical account/other credits existing (not at this bank)","radio/television",1169,"unknown/ no savings account","1  <= ... < 4 years",4,"male   : single","none",3,"(if not real estate) building society savings agreement/ life insurance",29,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",36,"delay in paying off in the past","car (used)",8947,"unknown/ no savings account","4  <= ... < 7 years",3,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",31,"stores","own",1,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","0"
"... <  0 euro",21,"existing credits paid back duly till now","radio/television",2606,"... <  51 euro","... < 1 year",4,"female : divorced/separated/married","none",4,"(if not real estate) building society savings agreement/ life insurance",28,"none","rent",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"No checking account",12,"critical account/other credits existing (not at this bank)","furniture/equipment",1592,".. >= 511 euro","4  <= ... < 7 years",3,"female : divorced/separated/married","none",2,"(if not real estate) building society savings agreement/ life insurance",35,"none","own",1,"skilled employee / official",1,"none","no","0"
"No checking account",15,"existing credits paid back duly till now","furniture/equipment",2186,"unknown/ no savings account","4  <= ... < 7 years",1,"female : divorced/separated/married","none",4,"real estate",33,"bank","rent",1,"unskilled - resident",1,"none","yes","0"
"... <  0 euro",18,"existing credits paid back duly till now","furniture/equipment",4153,"... <  51 euro","1  <= ... < 4 years",2,"male   : single","co-applicant",3,"(if not optin 1 or 2) car or other, not in attribute",42,"none","own",1,"skilled employee / official",1,"none","yes","1"
"... <  0 euro",16,"critical account/other credits existing (not at this bank)","car (new)",2625,"... <  51 euro",".. >= 7 years",2,"male   : single","guarantor",4,"(if not real estate) building society savings agreement/ life insurance",43,"bank","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"No checking account",20,"critical account/other credits existing (not at this bank)","car (new)",3485,"unknown/ no savings account","... < 1 year",2,"male   : divorced/separated","none",4,"real estate",44,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",36,"critical account/other credits existing (not at this bank)","car (used)",10477,"unknown/ no savings account",".. >= 7 years",2,"male   : single","none",4,"unknown / no property",42,"none","for free",2,"skilled employee / official",1,"none","yes","0"
"No checking account",15,"existing credits paid back duly till now","radio/television",1386,"unknown/ no savings account","1  <= ... < 4 years",4,"male   : married/widowed","none",2,"real estate",40,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",24,"existing credits paid back duly till now","radio/television",1278,"... <  51 euro",".. >= 7 years",4,"male   : single","none",1,"real estate",36,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",12,"existing credits paid back duly till now","radio/television",1107,"... <  51 euro","1  <= ... < 4 years",2,"male   : single","none",2,"real estate",20,"none","rent",1,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","0"
"... <  0 euro",21,"existing credits paid back duly till now","car (new)",3763,"unknown/ no savings account","4  <= ... < 7 years",2,"male   : single","co-applicant",2,"real estate",24,"none","own",1,"unskilled - resident",1,"none","no","0"
"0 <= ... <  102 euro",36,"existing credits paid back duly till now","education",3711,"unknown/ no savings account","1  <= ... < 4 years",2,"male   : married/widowed","none",2,"(if not optin 1 or 2) car or other, not in attribute",27,"none","own",1,"skilled employee / official",1,"none","yes","0"
"No checking account",15,"delay in paying off in the past","car (used)",3594,"... <  51 euro","... < 1 year",1,"female : divorced/separated/married","none",2,"(if not real estate) building society savings agreement/ life insurance",46,"none","own",2,"unskilled - resident",1,"none","yes","0"
"0 <= ... <  102 euro",9,"existing credits paid back duly till now","car (new)",3195,"unknown/ no savings account","1  <= ... < 4 years",1,"female : divorced/separated/married","none",2,"real estate",33,"none","own",1,"unskilled - resident",1,"none","yes","0"
"No checking account",36,"delay in paying off in the past","radio/television",4454,"... <  51 euro","1  <= ... < 4 years",4,"female : divorced/separated/married","none",4,"real estate",34,"none","own",2,"skilled employee / official",1,"none","yes","0"
"0 <= ... <  102 euro",24,"critical account/other credits existing (not at this bank)","furniture/equipment",4736,"... <  51 euro","... < 1 year",2,"female : divorced/separated/married","none",4,"(if not optin 1 or 2) car or other, not in attribute",25,"bank","own",1,"unskilled - resident",1,"none","yes","1"
"0 <= ... <  102 euro",30,"existing credits paid back duly till now","radio/television",2991,"unknown/ no savings account",".. >= 7 years",2,"female : divorced/separated/married","none",4,"(if not optin 1 or 2) car or other, not in attribute",25,"none","own",1,"skilled employee / official",1,"none","yes","0"
"No checking account",11,"existing credits paid back duly till now","business",2142,".. >= 511 euro",".. >= 7 years",1,"male   : divorced/separated","none",2,"real estate",28,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",24,"all credits at this bank paid back duly","business",3161,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",2,"(if not real estate) building society savings agreement/ life insurance",31,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"0 <= ... <  102 euro",48,"no credits taken/ all credits paid back duly","others",18424,"... <  51 euro","1  <= ... < 4 years",1,"female : divorced/separated/married","none",2,"(if not real estate) building society savings agreement/ life insurance",32,"bank","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","no","1"
"No checking account",10,"existing credits paid back duly till now","car (used)",2848,"51 <= ... <  255 euro","1  <= ... < 4 years",1,"male   : single","co-applicant",2,"real estate",32,"none","own",1,"skilled employee / official",2,"none","yes","0"
"... <  0 euro",6,"existing credits paid back duly till now","car (new)",14896,"... <  51 euro",".. >= 7 years",1,"male   : single","none",4,"unknown / no property",68,"bank","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","1"
"... <  0 euro",24,"existing credits paid back duly till now","furniture/equipment",2359,"51 <= ... <  255 euro","unemployed",1,"male   : divorced/separated","none",1,"(if not real estate) building society savings agreement/ life insurance",33,"none","own",1,"skilled employee / official",1,"none","yes","1"
"... <  0 euro",24,"existing credits paid back duly till now","furniture/equipment",3345,"... <  51 euro",".. >= 7 years",4,"male   : single","none",2,"(if not real estate) building society savings agreement/ life insurance",39,"none","rent",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","1"
"No checking account",18,"critical account/other credits existing (not at this bank)","furniture/equipment",1817,"... <  51 euro","1  <= ... < 4 years",4,"female : divorced/separated/married","none",2,"unknown / no property",28,"none","own",2,"skilled employee / official",1,"none","yes","0"
"No checking account",48,"delay in paying off in the past","radio/television",12749,"255 euro <= ... < 511 euro","4  <= ... < 7 years",4,"male   : single","none",1,"(if not optin 1 or 2) car or other, not in attribute",37,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",9,"existing credits paid back duly till now","radio/television",1366,"... <  51 euro","... < 1 year",3,"female : divorced/separated/married","none",4,"(if not real estate) building society savings agreement/ life insurance",22,"none","rent",1,"skilled employee / official",1,"none","yes","1"
"0 <= ... <  102 euro",12,"existing credits paid back duly till now","car (new)",2002,"... <  51 euro","4  <= ... < 7 years",3,"male   : single","none",4,"(if not real estate) building society savings agreement/ life insurance",30,"none","rent",1,"skilled employee / official",2,"yes, registered under the customers name","yes","0"
"... <  0 euro",24,"all credits at this bank paid back duly","furniture/equipment",6872,"... <  51 euro","... < 1 year",2,"male   : divorced/separated","none",1,"(if not real estate) building society savings agreement/ life insurance",55,"bank","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"... <  0 euro",12,"all credits at this bank paid back duly","car (new)",697,"... <  51 euro","... < 1 year",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",46,"bank","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"... <  0 euro",18,"critical account/other credits existing (not at this bank)","furniture/equipment",1049,"... <  51 euro","... < 1 year",4,"female : divorced/separated/married","none",4,"(if not real estate) building society savings agreement/ life insurance",21,"none","rent",1,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",48,"existing credits paid back duly till now","car (used)",10297,"... <  51 euro","4  <= ... < 7 years",4,"male   : single","none",4,"unknown / no property",39,"stores","for free",3,"skilled employee / official",2,"yes, registered under the customers name","yes","1"
"No checking account",30,"existing credits paid back duly till now","radio/television",1867,"unknown/ no savings account",".. >= 7 years",4,"male   : single","none",4,"(if not optin 1 or 2) car or other, not in attribute",58,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",12,"delay in paying off in the past","car (new)",1344,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",2,"real estate",43,"none","own",2,"unskilled - resident",2,"none","yes","0"
"... <  0 euro",24,"existing credits paid back duly till now","furniture/equipment",1747,"... <  51 euro","... < 1 year",4,"male   : single","co-applicant",1,"(if not real estate) building society savings agreement/ life insurance",24,"none","own",1,"unskilled - resident",1,"none","no","0"
"0 <= ... <  102 euro",9,"existing credits paid back duly till now","radio/television",1670,"... <  51 euro","... < 1 year",4,"female : divorced/separated/married","none",2,"(if not optin 1 or 2) car or other, not in attribute",22,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
"No checking account",9,"critical account/other credits existing (not at this bank)","car (new)",1224,"... <  51 euro","1  <= ... < 4 years",3,"male   : single","none",1,"real estate",30,"none","own",2,"skilled employee / official",1,"none","yes","0"
"No checking account",12,"critical account/other credits existing (not at this bank)","radio/television",522,"255 euro <= ... < 511 euro",".. >= 7 years",4,"male   : single","none",4,"(if not real estate) building society savings agreement/ life insurance",42,"none","own",2,"skilled employee / official",2,"yes, registered under the customers name","yes","0"
"... <  0 euro",12,"existing credits paid back duly till now","radio/television",1498,"... <  51 euro","1  <= ... < 4 years",4,"female : divorced/separated/married","none",1,"(if not optin 1 or 2) car or other, not in attribute",23,"bank","own",1,"skilled employee / official",1,"none","yes","0"
"0 <= ... <  102 euro",30,"delay in paying off in the past","radio/television",1919,"51 <= ... <  255 euro","... < 1 year",4,"male   : single","none",3,"unknown / no property",30,"stores","own",2,"management/ self-employed/highly qualified employee/ officer",1,"none","yes","1"
">= 102 euro",9,"existing credits paid back duly till now","radio/television",745,"... <  51 euro","1  <= ... < 4 years",3,"female : divorced/separated/married","none",2,"real estate",28,"none","own",1,"unskilled - resident",1,"none","yes","1"
"0 <= ... <  102 euro",6,"existing credits paid back duly till now","radio/television",2063,"... <  51 euro","... < 1 year",4,"male   : married/widowed","none",3,"(if not optin 1 or 2) car or other, not in attribute",30,"none","rent",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",60,"existing credits paid back duly till now","education",6288,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",4,"unknown / no property",42,"none","for free",1,"skilled employee / official",1,"none","yes","1"
"No checking account",24,"critical account/other credits existing (not at this bank)","car (used)",6842,"unknown/ no savings account","1  <= ... < 4 years",2,"male   : single","none",4,"(if not real estate) building society savings agreement/ life insurance",46,"none","own",2,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","0"
"No checking account",12,"existing credits paid back duly till now","car (new)",3527,"unknown/ no savings account","... < 1 year",2,"male   : single","none",3,"(if not real estate) building society savings agreement/ life insurance",45,"none","own",1,"management/ self-employed/highly qualified employee/ officer",2,"yes, registered under the customers name","yes","0"
